
央视频道,#genre#
甘肃卫视,http://www.8239999.xyz:8188/udp/239.93.18.252:5140
山东卫视,http://www.8239999.xyz:8188/udp/239.93.52.57:5140
山东教育卫视,http://www.8239999.xyz:8188/udp/239.93.52.58:5140
山东卫视,http://www.8239999.xyz:8188/udp/239.93.19.196:5140
云南卫视,http://www.8239999.xyz:8188/udp/239.93.18.211:9148
江苏卫视,http://www.8239999.xyz:8188/udp/239.93.18.246:5140
辽宁卫视,http://www.8239999.xyz:8188/udp/239.93.19.195:5140
江苏卫视,http://www.8239999.xyz:8188/udp/239.93.52.48:5140
吉林卫视,http://www.8239999.xyz:8188/udp/239.93.18.138:5140
热门卫视体验,http://www.8239999.xyz:8188/udp/239.93.18.140:5140
康巴卫视,http://www.8239999.xyz:8188/udp/239.93.18.208:5140
北京卫视,http://www.8239999.xyz:8188/udp/239.93.18.147:5140
深圳卫视,http://www.8239999.xyz:8188/udp/239.93.18.193:9000
青海卫视,http://www.8239999.xyz:8188/udp/239.93.18.146:5140
厦门卫视,http://www.8239999.xyz:8188/udp/239.93.18.151:5140
新疆卫视,http://www.8239999.xyz:8188/udp/239.93.18.217:9208
广东卫视,http://www.8239999.xyz:8188/udp/239.93.18.141:5140
云南卫视,http://www.8239999.xyz:8188/udp/239.93.18.136:5140
天津卫视,http://www.8239999.xyz:8188/udp/239.93.18.203:9072
内蒙古卫视,http://www.8239999.xyz:8188/udp/239.93.18.215:9132
四川卫视,http://www.8239999.xyz:8188/udp/239.93.18.195:8012
东方卫视,http://www.8239999.xyz:8188/udp/239.93.19.165:5140
北京卫视,http://www.8239999.xyz:8188/udp/239.93.52.35:5140
安徽卫视,http://www.8239999.xyz:8188/udp/239.93.52.11:5140
深圳卫视,http://www.8239999.xyz:8188/udp/239.93.52.34:5140
安徽卫视,http://www.8239999.xyz:8188/udp/239.93.52.17:5140
吉林卫视,http://www.8239999.xyz:8188/udp/239.93.52.31:5140
新疆卫视,http://www.8239999.xyz:8188/udp/239.93.52.56:5140
西藏卫视,http://www.8239999.xyz:8188/udp/239.93.52.55:5140
辽宁卫视,http://www.8239999.xyz:8188/udp/239.93.19.179:5140
青海卫视,http://www.8239999.xyz:8188/udp/239.93.19.191:5140
重庆卫视,http://www.8239999.xyz:8188/udp/239.93.19.188:5140
重庆卫视,http://www.8239999.xyz:8188/udp/239.93.52.27:5140
湖北卫视,http://www.8239999.xyz:8188/udp/239.93.18.178:5140
湖北卫视,http://www.8239999.xyz:8188/udp/239.93.18.209:5140
延边卫视,http://www.8239999.xyz:8188/udp/239.93.52.68:5140
浙江卫视,http://www.8239999.xyz:8188/udp/239.93.52.60:5140
西藏卫视,http://www.8239999.xyz:8188/udp/239.93.19.192:5140
江西卫视画中,http://www.8239999.xyz:8188/udp/239.93.19.45:5140
东南卫视,http://www.8239999.xyz:8188/udp/239.93.19.44:5140
广西卫视,http://www.8239999.xyz:8188/udp/239.93.18.201:5140
山西卫视,http://www.8239999.xyz:8188/udp/239.93.18.229:5140
河北卫视,http://www.8239999.xyz:8188/udp/239.93.19.200:5140
湖南卫视,http://www.8239999.xyz:8188/udp/239.93.18.115:5140
河南卫视,http://www.8239999.xyz:8188/udp/239.93.19.202:5140
黑龙江卫视,http://www.8239999.xyz:8188/udp/239.93.19.169:5140
贵州卫视,http://www.8239999.xyz:8188/udp/239.93.19.203:5140
浙江卫视,http://www.8239999.xyz:8188/udp/239.93.19.168:5140
陕西卫视,http://www.8239999.xyz:8188/udp/239.93.19.207:5140
宁夏卫视,http://www.8239999.xyz:8188/udp/239.93.19.208:5140
甘肃卫视,http://www.8239999.xyz:8188/udp/239.93.19.161:5140
四川卫视,http://www.8239999.xyz:8188/udp/239.93.19.97:5140
江苏卫视,http://www.8239999.xyz:8188/udp/239.93.19.80:5140
浙江卫视,http://www.8239999.xyz:8188/udp/239.93.19.81:5140
三沙卫视,http://www.8239999.xyz:8188/udp/239.93.19.47:5140
热门卫视,http://www.8239999.xyz:8188/udp/239.93.18.39:5140
山东卫视,http://www.8239999.xyz:8188/udp/239.93.19.86:5140
黑龙江卫视,http://www.8239999.xyz:8188/udp/239.93.19.85:5140
康巴卫视,http://www.8239999.xyz:8188/udp/239.93.19.217:5140
四川卫视,http://www.8239999.xyz:8188/udp/239.93.19.88:5140
东方卫视,http://www.8239999.xyz:8188/udp/239.93.19.82:5140
北京卫视,http://www.8239999.xyz:8188/udp/239.93.19.83:5140
深圳卫视,http://www.8239999.xyz:8188/udp/239.93.19.84:5140
东方卫视,http://www.8239999.xyz:8188/udp/239.93.18.31:5140
天津卫视,http://www.8239999.xyz:8188/udp/239.93.19.90:5140
湖南卫视,http://www.8239999.xyz:8188/udp/239.93.19.8:5140
湖北卫视,http://www.8239999.xyz:8188/udp/239.93.19.91:5140
广东卫视,http://www.8239999.xyz:8188/udp/239.93.19.92:5140
广东卫视,http://www.8239999.xyz:8188/udp/239.93.18.77:5140
天津卫视,http://www.8239999.xyz:8188/udp/239.93.18.72:5140
内蒙古卫视,http://www.8239999.xyz:8188/udp/239.93.18.73:5140
